#SampleID	Metaphlan2_Analysis
k__Fungi	100
k__Fungi|p__Ascomycota	70.05095
k__Fungi|p__Basidiomycota	24.15572
k__Fungi|p__Blastocladiomycota	0.06449
k__Fungi|p__Chytridiomycota	1.50261
k__Fungi|p__Cryptomycota	0.0043
k__Fungi|p__Microsporidia	0.88566
k__Fungi|p__Mucoromycota	2.16256
k__Fungi|p__Zoopagomycota	0.09673
k__Fungi|p__Basidiomycota|c__Agaricomycetes	11.68555
k__Fungi|p__Basidiomycota|c__Agaricostilbomycetes	0.0043
k__Fungi|p__Ascomycota|c__Archaeorhizomycetes	0.0086
k__Fungi|p__Ascomycota|c__Arthoniomycetes	0.0043
k__Fungi|p__Blastocladiomycota|c__Blastocladiomycetes	0.01505
k__Fungi|p__Chytridiomycota|c__Chytridiomycetes	0.27516
k__Fungi|p__Basidiomycota|c__Dacrymycetes	0.0043
k__Fungi|p__Ascomycota|c__Dothideomycetes	4.93562
k__Fungi|p__Mucoromycota|c__Endogonomycetes	0.00645
k__Fungi|p__Zoopagomycota|c__Entomophthoromycetes	0.07094
k__Fungi|p__Ascomycota|c__Eurotiomycetes	13.97493
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes	0.08169
k__Fungi|p__Basidiomycota|c__Geminibasidiomycetes	0.0043
k__Fungi|p__Mucoromycota|c__Glomeromycetes	0.95445
k__Fungi|p__Zoopagomycota|c__Kickxellomycetes	0.0086
k__Fungi|p__Ascomycota|c__Lecanoromycetes	0.17842
k__Fungi|p__Ascomycota|c__Leotiomycetes	4.33586
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	0.45573
k__Fungi|p__Basidiomycota|c__Microbotryomycetes	0.96735
k__Fungi|p__Mucoromycota|c__Mortierellomycetes	0.11393
k__Fungi|p__Mucoromycota|c__Mucoromycetes	1.05763
k__Fungi|p__Chytridiomycota|c__Neocallimastigomycetes	1.22316
k__Fungi|p__Ascomycota|c__Orbiliomycetes	0.47937
k__Fungi|p__Ascomycota|c__Pezizomycetes	0.43423
k__Fungi|p__Blastocladiomycota|c__Physodermatomycetes	0.04944
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes	0.14403
k__Fungi|p__Basidiomycota|c__Pucciniomycetes	3.73611
k__Fungi|p__Ascomycota|c__Saccharomycetes	21.4364
k__Fungi|p__Ascomycota|c__Schizosaccharomycetes	0.17627
k__Fungi|p__Ascomycota|c__Sordariomycetes	23.88271
k__Fungi|p__Ascomycota|c__Taphrinomycetes	0.0129
k__Fungi|p__Basidiomycota|c__Tremellomycetes	6.6188
k__Fungi|p__Mucoromycota|c__Umbelopsidomycetes	0.02795
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	0.58901
k__Fungi|p__Ascomycota|c__Xylonomycetes	0.0043
k__Fungi|p__Zoopagomycota|c__Zoopagomycetes	0.01075
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	5.55687
k__Fungi|p__Basidiomycota|c__Agaricostilbomycetes|o__Agaricostilbales	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Amylocorticiales	0.07739
k__Fungi|p__Ascomycota|c__Archaeorhizomycetes|o__Archaeorhizomycetales	0.0086
k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Archaeosporales	0.0086
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Atheliales	0.06879
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Auriculariales	0.09459
k__Fungi|p__Blastocladiomycota|c__Blastocladiomycetes|o__Blastocladiales	0.01505
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales	0.46003
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales	0.52452
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales	0.61265
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales	0.0043
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Ceraceosorales	0.0043
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Chaetosphaeriales	0.0043
