#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
SRR8529734_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     3600     3657      +    no    1 0.59   0.0   56.9   3.6e-12 !   -
SRR19352697_Contig-5  -         Hammerhead_3         RF00008    cm        1       58     2538     2481      -    no    1 0.52   0.0   53.6   2.9e-11 !   -
SRR6188981_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     3212     3269      +    no    1 0.48   0.0   53.5   3.2e-11 !   -
SRR19352695_Contig-3  -         Hammerhead_3         RF00008    cm        1       58     2521     2464      -    no    1 0.55   0.0   52.7   5.2e-11 !   -
SRR5138298_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     1254     1197      -    no    1 0.52   0.0   51.1   1.4e-10 !   -
SRR7694632_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     2262     2320      +    no    1 0.49   0.0   51.1   1.4e-10 !   -
SRR5140179_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     1402     1459      +    no    1 0.55   0.0   50.9   1.7e-10 !   -
SRR16887726_Contig-11 -         Hammerhead_3         RF00008    cm        1       58     2061     2118      +    no    1 0.52   0.0   50.6     2e-10 !   -
SRR16887726_Contig-4  -         Hammerhead_3         RF00008    cm        1       58     4518     4575      +    no    1 0.52   0.0   50.5   2.1e-10 !   -
SRR7852826_Contig-1   -         Hammerhead_3         RF00008    cm        1       58      434      377      -    no    1 0.52   0.0   49.9   3.2e-10 !   -
SRR1258115_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     2167     2224      +    no    1 0.52   0.0   49.8   3.4e-10 !   -
SRR9130477_Contig-1   -         Hammerhead_3         RF00008    cm        1       58       71       14      -    no    1 0.50   0.0   49.7   3.5e-10 !   -
SRR16887725_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     4390     4447      +    no    1 0.53   0.0   49.0   5.5e-10 !   -
SRR19352691_Contig-2  -         Hammerhead_3         RF00008    cm        1       58     1252     1195      -    no    1 0.45   0.0   49.0   5.5e-10 !   -
SRR6310246_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     3398     3341      -    no    1 0.62   0.0   48.9   5.8e-10 !   -
